run,state,rocm_init,tensor_load_done,kv_alloc_done,warmup_done,ready,total_wall,vram_peak_mb,error
1,cold,0.0554,35.7838,35.8242,36.1071,36.1950,36.758,23147,
36,cold,0.0546,34.5175,34.5590,34.8501,34.9366,35.725,23200,
35,cold,0.0553,34.9267,34.9668,35.2547,35.3420,35.711,23164,
35,warm,0.0551,2.6410,2.6826,2.9734,3.0618,3.259,23149,
5,warm,0.0551,2.6325,2.6726,2.9535,3.0411,3.257,23174,
5,warm,0.0567,2.6386,2.6778,2.9679,3.0549,3.277,23165,
5,warm,0.0552,2.6290,2.6691,2.9513,3.0374,3.256,23164,
5,warm,0.0575,2.6351,2.6762,2.9578,3.0452,3.258,23164,
5,warm,0.0545,2.6251,2.6662,2.9487,3.0360,3.254,23164,
5,warm,0.0567,2.6257,2.6671,2.9483,3.0356,3.255,23164,
